
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (13:45:09) | ===> btop++ v.1.3.2
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (13:45:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (14:10:29) | ===> btop++ v.1.3.2
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (14:10:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (14:14:34) | ===> btop++ v.1.3.2
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (14:14:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (14:15:24) | ===> btop++ v.1.3.2
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (14:15:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (14:16:08) | ===> btop++ v.1.3.2
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (14:16:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (14:24:49) | ===> btop++ v.1.3.2
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (14:24:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
